UNIT_NAME,UNIT_TYPE,PARKNAME
Fort Smith National Historic Site,National Historic Site,Fort Smith
Hopewell Culture National Historical Park,National Historical Park,Hopewell Culture
Ozark National Scenic Riverway,National Scenic Riverway,Ozark
Haleakala National Park,National Park,Haleakala
El Malpais National Monument,National Monument,El Malpais
Big Bend National Park,National Park,Big Bend
Lewis and Clark National Historic Trail,National Historic Trail,Lewis and Clark
Lake Chelan National Recreation Area,National Recreation Area,Lake Chelan
Delaware Water Gap National Recreation Area,National Recreation Area,Delaware Water Gap
Carl Sandburg Home National Historic Site,National Historic Site,Carl Sandburg Home
Harriet Tubman Underground Railroad National Historical Park,National Historical Park,Harriet Tubman Underground Railroad
Saint Croix National Scenic Riverway,National Scenic Riverway,Saint Croix
Lyndon B. Johnson National Historical Park,National Historical Park,Lyndon B Johnson
Carlsbad Caverns National Park,National Park,Carlsbad Caverns
Chaco Culture National Historical Park,National Historical Park,Chaco Culture
Aztec Ruins National Monument,National Monument,Aztec Ruins
Zion National Park,National Park,Zion
Great Sand Dunes National Preserve,National Preserve,Great Sand Dunes
Great Sand Dunes National Park,National Park,Great Sand Dunes
Lincoln Home National Historic Site,National Historic Site,Lincoln Home
San Antonio Missions National Historical Park,National Historical Park,San Antonio Missions
Grant-Kohrs Ranch National Historic Site,National Historic Site,Grant-Kohrs Ranch
Katahdin Woods And Waters National Monument,National Monument,Katahdin Woods And Waters
Craters of the Moon National Preserve,National Preserve,Craters of the Moon
Craters of the Moon National Monument,National Monument,Craters of the Moon
White Sands National Monument,National Monument,White Sands
Pecos National Historical Park,National Historical Park,Pecos
Organ Pipe Cactus National Monument,National Monument,Organ Pipe Cactus
Curecanti National Recreation Area,National Recreation Area,Curecanti
Black Canyon of the Gunnison National Park,National Park,Black Canyon of the Gunnison
Missouri National Recreation River,National Recreation River,Missouri
Petrified Forest National Park,National Park,Petrified Forest
Theodore Roosevelt National Park,National Park,Theodore Roosevelt
Cuyahoga Valley National Park,National Park,Cuyahoga Valley
Dinosaur National Monument,National Monument,Dinosaur
Crater Lake National Park,National Park,Crater Lake
Rock Creek Park,Park,Rock Creek Park
Pictured Rocks National Lakeshore,National Lakeshore,Pictured Rocks
Big Thicket National Preserve,National Preserve,Big Thicket
Indiana Dunes National Lakeshore,National Lakeshore,Indiana Dunes
Apostle Islands National Lakeshore,National Lakeshore,Apostle Islands
Wilson's Creek National Battlefield,National Battlefield,Wilson's Creek
Glacier National Park,National Park,Glacier
Saguaro National Park,National Park,Saguaro
Mojave National Preserve,National Preserve,Mojave
Keweenaw National Historical Park,National Historical Park,Keweenaw
